address,company,employment_type,industry,job,requirements,responsibilities,salary,salary_type,seniority,title
,,,,,,,,,,data engineer
"CHARLES & KEITH GRP HEADQUARTERS, 6 TAI SENG LINK 534101",CHARLES & KEITH (SINGAPORE) PTE. LTD.,Full Time,Information Technology,DATA ENGINEER,"RequirementsWe are looking for a candidate with 5+ years of experience in a Software Engineer role who wants to move into Data Engineering or is currently working as Data Engineer. He/She should have attained a Graduate degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative field and also have experience using the following software/tools:  Experience with object-oriented/object function scripting languages: Python and/or Java, C++, Scala, etc. Experience with big data tools: Hadoop, Spark, Kafka, NiFi, sqoop, etc. Experience with relational SQL and NoSQL databases. Experience with data pipeline and workflow management tools: Luigi, Airflow, etc. Experience with AWS cloud services: EC2, EMR, Kenesis, Firehose Experience with stream-processing systems: Storm, Spark-Streaming, etc. ​    Additional Requirements  Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with widely used RDBMS Experience building and optimizing ‘big data’ data pipelines, architectures and data sets Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement Strong analytic skills related to working with unstructured datasets. Build processes supporting data transformation, data structures, metadata, dependency and workload management A successful history of manipulating, processing and extracting value from large disconnected datasets Working knowledge of message queuing, stream processing, and highly scalable ‘big data’ data stores Strong project management and organizational skills. Experience supporting and working with cross-functional teams in a dynamic environment   ","Roles & ResponsibilitiesWe are looking for a savvy Software turned Data Engineer to join our growing Data Engineering team. The ideal candidate is an experienced data pipeline builder and data wrangler who enjoys optimizing data systems and building them from the ground up. He/She will be responsible for designing, expanding and optimizing our data and data pipeline architecture, as well as optimizing data flow and collection for cross functional teams. Supporting our software developers, data architect, data analysts and data scientists on organisation wide data initiatives, he/she will ensure optimal data delivery that is consistent throughout ongoing projects. Self-directed and comfortable supporting the data needs of multiple teams, systems and products, he/she will be excited by the prospect of optimizing or even re-designing our organisation’s data architecture with architect to support our next generation of products and data initiatives. Roles & Responsibilities  Create and maintain optimal data pipeline architecture Assemble large, complex data sets that meet functional / non-functional business requirements Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, collaborate with infra team to re-designing infrastructure for greater scalability and stability Collaborate with infrastructure team for provisioning required infrastructure for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and ‘big data’ technologies Work with stakeholders including the Executive, Product, Data and Design teams to assist with data-related technical issues and support their data needs Keep our data separated and secure across national boundaries through multiple data centres and AWS regions Create data tools for analytics and data scientist team members that assist them in building and optimizing models which enables us as an innovative industry leader. Work with data and analytics experts to strive for greater functionality in our data systems Build tools from ground up that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics     ","$5,000to$6,000",Monthly,Executive,data engineer
137 TELOK AYER STREET 068602,MATCHMOVE PAY PTE. LTD.,Full Time,Banking and Finance,Data Engineer (Fin-Tech),"Requirements Good programming experience in Python Knowledge of information retrieval using SQL, java or C++ Experience with AWS data technologies such as Redshift, Glue, Spectrum, Quicksight. Well versed with data modelling and data warehousing. Working knowledge of message queuing, stream processing, and highly scalable data stores. Knowledge about Apache Spark or Hadoop would be an advantage. Self-starter and committed to working in fast paced environment 	   Culture in MatchMove :   - To work in a fast-moving startup, fun and yet professional environment that recognizes and rewards individual contributions and also team success.  - To work with highly motivated people who are totally focused on winning by combining great teamwork, rapid execution and an uncompromising approach to quality and customer satisfaction.  - We strongly encourage Innovation, Collaboration, Creativity, and Initiative.  - We work in a collaborative environment where you can talk to the CEO anytime!  - Be A Part of the MatchMove Family! Check us out our Facebook page   Personal Data Protection Act : By submitting your application for this job, you are authorizing MatchMove to: a) Collect and use your personal data, and to disclose such data to any third party with whom MatchMove or any of its related corporation has service arrangements, in each case for all purposes in connection with your job application, and employment with MatchMove; and b) Retain your personal data for 1 year for consideration of future job opportunities (where applicable for relevant unsuccessful job applicants).","Roles & ResponsibilitiesAre you the One?  MatchMove Pay, one of the fastest, award-winning Fin-Tech company, is looking for a couple of experienced Data Engineers to work on in-house data warehouse projects and data modelling.  Job Responsibilities :  Build the data warehouse infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources on AWS technologies. Maintain compliance of the data warehouse with MatchMove data architecture policy. Responsible for data modelling and validation of master data with original data sources. Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability Work with stakeholders including the Executive,  Finance, Product and Engineering teams to assist with data-related technical issues and support their data infrastructure needs. 	  ","$3,500to$5,000",Monthly,"Manager, Senior Executive",data engineer
"KEPPEL TOWERS, 10 HOE CHIANG ROAD 089315",EIRE SYSTEMS SINGAPORE PTE. LTD.,Full Time,Information Technology,Data Security Network Engineer,RequirementsExperience in the below Technology The primary technology areas covered by the Data Security Engineer are:  Juniper Netscreen Firewalls and Netscreen Security Manager Palo Alto Firewalls and Panorama CM Cisco Routing and Switching (Cisco Nexus) Multicast EIGRP and BGP Routing Protocols Lucent Vital QIP/Run IP (DNS/DHCP); N3K RunIP F5 Load Balancers Bluecoat Proxy Devices Rebasoft Network Access Control  The preferred candidate should have worked in a System Integrator/ large enterprise managed service environment preferably in the financial industry or have similar experience with the banking sector.,"Roles & ResponsibilitiesThe role of an Implementation Services Data Security Engineer is to interpret a customer request and then transform that request into a successful project.  This includes project management, solution design, security solution implementation as well as act as Tier 3 escalation technical support when called upon.  The role is required to act as liaisons to engineers in the Client Architecture and Engineering department in ensuring that global engineering standards and guidelines are adhered to.   Responsibilities include: Requirements verification:  Meeting with Business Clients, Systems Integration, and other IT departments to gather technical requirements, business justification for projects Verify technical requirements for large projects Quickly estimate high-level costs and resource requirements  Solution design:  Evaluating technology options and presenting those that best suit customer requirements. Produce the technical design in the format specified by Client standards.  This requires excellent technical writing skills and proficiency with office automation tools.  Many technical designs will be in excess of 100+ pages and integrate various items including Visio Diagrams, Tables, Charts, and links. Ensure Compliance with all Client Standards for Data and Voice Networks. Assist junior engineers with project costing estimates Generally the first to use new solutions provided by Network Technology engineering team    Project Management  Develop a High-level plan at project initialization that will guide the project through the requirements and pre-sales stage Develop a Detailed project plan that will guide the project through the solution design, procurement, and delivery stages. Hold regular meeting with stake holders to track progress and communicate issues, and delegate tasks Provide Project reporting as required by the Client Minimal Grid Guidelines for Complex and Medium Service Requests  Implementation:  Determining implementation time frames and risks - Coordinating and gaining consensus on change windows with change management and other IT teams and LBM’s Submission and tracking of Change Management tickets for implementation Coordinating the installation of equipment and connections with Move/Add/Change team Testing of network connectivity post implementations Ensuring Compliance of all Changes with Client standards Completing the Acceptance into Service (AIS) Process for all projects. Delivering all Projects and Changes “Right the First Time” as most of our SLA for service uptime are 99.999% and greater.  Failure to deliver right the first time has significant financial penalties. Travel to various customer sites within the Asia Pacific theater is required    General Support:  Provide Tier 3 Technical Support during major incidents and troubleshooting assistance for complex long term issues impacting network performance. Provide Technical consultation as requested by the customer Assist with internal and external audit requests   ","$7,000to$9,000",Monthly,Professional,data engineer
,ALPHATECH BUSINESS SOLUTIONS PTE. LTD.,Permanent,Information Technology,Data Quality Engineer,"Requirements   Must know JAVA8 and SPARK Experience in distributed data architecture Have working knowledge of SQL, Python, Airflow Scala, Hadoop, SPARK Good to know CI/CD Experience (Jenkins Github), AWS, Kubernetes, Docker Preferred to have banking domain experience ",Roles & Responsibilities Evaluate and recommend solutions via data analysis regarding issues related to the improvement of product qua;oty and resolving of customer feedback Apply software and programming abilities to manage and analyse data from a variety of sources ,"$6,000to$8,000",Monthly,Senior Executive,data engineer
"MARINA BAY FINANCIAL CENTRE, 12 MARINA BOULEVARD 018982",DBS BANK LTD.,Full Time,Engineering,"VP, Lead DevOps Engineer, Group Consumer Banking and Big Data Analytics Technology, T&O (180001X5)","Requirements More than 3 years of experience as a Developer Excellent problem solving skills Excellent communication skills in order to facilitate workshops Strong knowledge and experience in Devops automation, containerisation and orchestration using tools such as Mesos Chef, Ansible, Docker, Jenkins, SonarQube Kubernetes etc. Experience with highly scalable distributed systems Hands on in depth experience in some of the following technologies: Jenkins/Maven/Git/SonarQube/Fortify/Confluence/Jira/Artifactory Cloud Foundry, OpenShift or other PaaS technologies. Public clouds such as AWS, Google Cloud or Azure. Dockers, Garden, Kubernetes, Mesos. Strong understanding of virtualization and networking. Strong understanding of Linux. Familiarity with relational databases, preferably MySQL, NoSQL, MariaDB, PostgreSQL. Experience working with, or an interest in Agile Methodologies, such as Extreme Programming (XP) and Scrum  Knowledge of software best practices, like Test-Driven Development (TDD). ","Roles & ResponsibilitiesBusiness Function  Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels.   Key Accountabilities  Manage the development of the internal engineering productivity tools and environments. Providing DevOps architecture implementation and operational support Architecture and planning for cloud deployments (Private and Public cloud);  Be an innovative and hands-on DevOps engineer capable of looking at both the technology and strategy around the platform. Future-proofing the technical environments and ensuring extreme high levels of automation, availability, scalability and resilience.  Responsibilities   Manage the development of the internal engineering productivity tools and environments. Manage processes, automation, best practices, documentation. Development and operation of continuous integration and deployment pipelines. Monitoring automation to effectively detect/predict/prevent issues in the environment and code base. Ability to conduct research into software issues and products as required Working with the latest tools and techniques  Hands-on coding and mentoring, usually in a pair programming environment  Working in highly collaborative teams and building quality environments. Ability to effectively prioritize and execute tasks in a high-pressure, fast paced, global environment Knowledge in lots of different open source technologies and configurations. ","$9,500to$15,000",Monthly,Senior Management,data engineer
"AXA TOWER, 8 SHENTON WAY 068811",LAZADA SERVICES SOUTH EAST ASIA PTE. LTD.,Permanent,"Information Technology, Logistics / Supply Chain","Vice President, Data Engineering","Requirements  Minimum 5 years of data engineering experience.   Experience in leading more than 2 people in team.   Expert/Advanced level experience with Python.   Expert Level experience with PostgreSQL, Hadoop.   Deep experience in SQL tuning, tuning ETL solutions, physical optimization of databases.   Experience or understanding of Big Data Platforms.   eCommerce industry knowledge is a plus.   Great experience building production applications in a heterogeneous environment.   Experience with Multithreaded and Concurrent programming.   Creative and nimble with ability to overcome obstacles to solve the hardest problems   Ability to write well-abstracted, reusable code components (TDD / Git / Jenkins / Ansible as plus).   Experience in cloud computing services, relational, and non relational databases for business intelligence and analytics.  ","Roles & ResponsibilitiesStory of Lazada Group: Launched in 2012, Lazada has grown rapidly to include over 4.900 full-time employees in the region, with eCommerce operations in Indonesia, Malaysia, Philippines, Singapore, Thailand, Vietnam and a sourcing center in Hong Kong that drives cross-border marketplace activities as well as an R&D TechHub in Russia. Revolutionizing the way customers shop in Southeast Asia and perform online transactions across the region, Lazada has reached an online footprint of approximately 9 million unique daily visits to its websites, and the largest Facebook community in Southeast Asia with over 16.5 million fans. Lazada Group owns the biggest and the most efficient technology driven logistics and fulfilment ecosystem in the region – Lazada eLogistics. With 11 own warehouses, 5 sorting centers, 78 last-mile hubs we are ensuring 48 hours delivery of more than 6 million orders every month. Our warehouses cover more than 115 thousands of square miles and it takes less than 2 hours to process every order even during massive sales campaigns. Having our own cross-border operator helps us connect more than 100 million of customers and businesses from all over Asia. Our transportation is driven by our own LEL Express delivery fleet which, together with more than 80 third-party logistics, guarantees high quality 48 hours delivery. All of that would be impossible without sophisticated IT systems, which are being developed and expanded in-house by one of the most experienced and agile tech teams in Southeast Asia! As a Lead Data Engineer in Lazada eLogistics Tech Team, you'll be part of an extremely motivated and experienced group of people. You'll help drive LEL business and be a key contributor. You will also become a mentor for other developers and business members. Does the real-time challenge of dealing with massive datasets (billions of transactions a day) get you excited? If yes, then we would like to speak with you. Lazada eLogistics is using a mix of cutting edge and proven technologies to build new data products that aim to change the E-Logistics landscape. You will be the tech leader of a data engineering team that primarily focuses on productionalizing data pipelines that drive our most critical applications. The tech lead position is the a critical layer that makes sure projects get done. Your daily duties will be:   Drive development of real-time data ingestion pipelines and batch data ingestion pipelines for analysis, machine learning, dashboards, alerts and visualizations.   Drive development of new systems and tools to enable data scientists to consume and analyse data faster and more efficiently.   Design data warehouse and data pipelines ensuring data integrity between systems are maintained.   Architect, build, and launch new data models.   Execute code review of data engineers.   Mentor data engineers in the team.   Convert specs into to working code.   Work and tune data warehousing and data ingest environments.   Script programs and APIs in Python/Go.   Create, monitor and manage low latency ETL and Data pipelines.   Your future benefits will be:    Class ""A” office with the best view on business district of Singapore.   Official employment and relocation coverage.   Medical insurance from the first day.   Comfortable working hours in the office.   Caring and respectful HR team.   Powerful workstations and various software licenses (Mac / Winbook + HD displays to your liking).   Daily snacks, chill-out on Friday and of course high quality coffee.   Personal development system for both specialists and managers.   Choice of hackathons, meetups and other entertainment activities.   Opportunity to become public speaker in technology and take part in industry conferences – for top performers.   Exciting international business travels.   No dress code.  ","$13,000to$17,000",Monthly,"Senior Management, Middle Management",data engineer
,Company Undisclosed,Full Time,"Engineering, Information Technology, Others",Data Engineer (Big Data),"Requirements You have 10+ years hands-on experience and a passion for data engineering in a big data envrionment, ETL Processes and related services as well as experience and a very good understanding of AWS Big Data Cloud Infrastructure. You have very good experience in relational Database Technologies (ideally MS SQL) and Big Data Technologies and Database Performance Tuning . You are a highly motivated, challenge-taking Personality with a positive attitude. Team-oriented with an international mindset. You like to work in a dynamic Start-Up Environment and build exciting new Data Products within a motivated team. Fluent in English written and oral and ready to travel. You feel comfortable in developing on your own but also in working with a team of developers   ","Roles & Responsibilities Being part of the Data Engineering Team to conceptualise, build and maintain the Data Infrastructure for relational as well as Big Data Infrastructure in order to deliver a high performanc Data Environment to process Retail and Shopper Data from various partners. Being responsible for Data Warehousing Design, Data Integration Processes, Database Ressource Planning, Infrastructure Performance, Data Governance and Security Management as well as design, architecture, implementation and documentation of new, scalable ETL processes, pipelines, pathways and dimensional data models. Audit and QA data and processes to ensure data quality and integrity throughout the data ecosystem Work with Data Scientist, Business Consultant and Frontend Developer to build scalable Data Analytics Apps using advanced analytics.     ","$6,000to$8,000",Monthly,Executive,data engineer
"KEPPEL TOWERS, 10 HOE CHIANG ROAD 089315",ZALORA SOUTH EAST ASIA PTE. LTD.,Full Time,Engineering,Data Engineer,"Requirements BS in Computer Science or related technical discipline or equivalent practical experience 3-4+ years of experience with high-traffic, high volume, high scalable distributed systems and client-server architectures (clustering, partitioning, sharding, etc) Some experience working with Data Scientists and finding solutions for them to work efficiently while manipulating high volume of data and be able to work with them and the teams to bring their algorithms at scale Strong operational experience with AWS, container approaches. ","Roles & ResponsibilitiesWe are looking for a Big Data Engineer happy to design, build, maintain and automate big data environments (datalake, etc…) and the associated data to enable the teams to make use of the high volume of data available from our e-commerce activities. You should be proficient in: - Technical background:  Linux Big Data technologies (Redshift, BigQuery, Spark, Glue, Parquet…) Industrialization (Ansible..), Orchestration (Kubernetes…), containers in cloud (Docker, AWS…) Strong experience in resilient architecture (high availability, scalability) Data management: you have experience in integrating and managing large volumes of Data while taking into account performance issues Coding skills: skills in one or more scripting languages (Perl, Ruby…) as well as one or more development languages (Python, Java…)  Soft skills: while being a tech automation enthusiast with a passion for building tools to make developers' lives easier, you also want and know how to share your expertise with other people to empower them. Agile and DevOps approach, with an operational experience as an Ops in a demanding environment. You know what it’s like to manage in production critical systems and you have experience in sharing this knowledge to the teams to enable a “you build it / you run it” mindset.","$4,500to$6,000",Monthly,Professional,data engineer
"INTERNATIONAL PLAZA, 10 ANSON ROAD 079903",SMARTSOFT PTE. LTD.,Full Time,Information Technology,senior Big data Engineer,"Requirements Commercial software engineering: You have 3+ years of professional software development experience with languages and systems such as Java, Python (PySpark), and version control (git), with good analytical & debugging skills. Big data: You have extensive experience with data analytics and working knowledge of big data infrastructure such as Hadoop Eco System, HDFS, Spark, Google Cloud, Big Query, Data Flow (nice to have). You've routinely built data pipelines with gigabytes/terabytes of data and understand the challenges of manipulating such large datasets. Data Modeling: Flair for data, schema, data model, PL/SQL, Star & snow flake schema, how to bring efficiency in data modeling for efficient querying data for analysis, understands criticality TDD and develops data validation techniques. Real Time Systems: Understands evolution of databases for in-memory, NoSQL & indexing technologies along with experience on real-time & stream processing systems like kafka, Storm. Project management: You demonstrate excellent project and time management skills, exposure to scrum or other agile practices in JIRA. ","Roles & Responsibilities Massive data: You will source / examine, analyze, engineer data pipelines for gigabytes/terabytes of structured and unstructured data with our platform to create value for customers. Pushing the limits: This role will be on the cutting edge of our Data / Machine Learning platform. As we push to solve more of our customer challenges, you will be prototyping new features, tools and ideas. Innovate at a very fast pace to maintain our competitive edge. Linux hacking: You will be masterfully using the command line, including tools like vi/emacs and understanding beyond basics of grep, bash, awk, sed, etc to aggressively dive into data, systems, and compute platforms to get the results you are seeking. Production deployment: You will be responsible for integration and deployment of the machine learning pipelines into production where your ideas can come to life. Coordinate and work with cross functional teams, sometimes located at different geo locations. ","$4,000to$8,000",Monthly,Senior Executive,data engineer
,DENODO TECHNOLOGIES PTE. LTD.,Full Time,Engineering,Data Engineer - SQL  /  Big Data  /  Java,"RequirementsQualifications Required Skills  BS or higher degree in Computer Science. Solid understanding of SQL and good grasp of relational and analytical database management theory and practice. Knowledge in Java software development, especially in the database field. Good knowledge of JDBC, XML and Web Services APIs. Excellent verbal and written communication skills to be able to interact with technical and business counterparts. Active listener. Strong analytical and problem solving abilities. Lots of curiosity. You never stop learning new things. Creativity. We love to be surprised with innovative solutions. Willingness to travel around 50%. Be a team worker with positive attitude.  We Value  Experience working with Java frameworks. Experience working with GIT or other version control systems. Experience working with BigData and/or noSQL environments like Hadoop, mongoDB, ... Experience working with caching approaches and technologies such as JCS. Experience in Windows & Linux (and UNIX) operating systems in server environments. Business software implementation and integration projects (e.g. ETL/Data Warehouse architectures, CEP, BPM). Integration with packaged applications (e.g. relational databases, SAP, Siebel, Oracle Financials, Business Intelligence tools, …). Industry experience in supporting mission critical software components. Experience in attending customer meetings and writing technical documentation. Foreign language skills are a plus.  Additional Information Employment Practices  We are committed to equal employment opportunity. We respect, value and welcome diversity in our workforce. We do not accept resumes from headhunters or suppliers that have not signed a formal fee agreement. Therefore, any resume received from an unapproved supplier will be considered unsolicited, and we will not be obligated to pay a referral fee. ","Roles & ResponsibilitiesYour Opportunity Denodo is always looking for technical, passionate people to join our Services Engineering team. We want a professional who will travel, consult, develop, train and troubleshoot to enhance our clients’ journey around Data Virtualization. Your mission: to help people realize their full potential through accelerated adoption and productive use of Denodo solutions. In this role you will successfully employ a combination of high technical expertise and client management skills to conduct on-site and off-site consulting, product implementation and solutions development in either short or long-term engagements being critical point of contact for getting things done among Denodo, partners and client teams. Duties & Responsibilities  Obtain and maintain strong knowledge of the Denodo Platform, be able to deliver a superb technical pitch, including overview of our key and advanced features and benefits, services offerings, differentiation, and competitive positioning. Constantly learn new things and maintain an overview of modern technologies. Be able to address a majority of technical questions concerning customization, integration, enterprise architecture and general feature / functionality of our product. Capable of building and/or leading the development of custom deployments based and beyond client’s requirements. Provide timely, prioritized and complete customer-based feedback to Product Management, Sales, Support and/or Development regarding client’s business cases, requirements and issues. Train and engage clients in the product architecture, configuration, and use of the Denodo Platform. Promote knowledge and best practices while managing deliverables and client expectations. Manage client expectations, establish credibility at all levels within the client and build problem-solving partnerships with the client, partners and colleagues. Provide technical consulting, training and support. Develop white papers, presentations, training materials or documentation on related topics ",,,Professional,data engineer
51B CIRCULAR ROAD 049406,PALO IT SINGAPORE PTE. LTD.,"Permanent, Full Time",Information Technology,Senior Database Consultant - Big Data Engineer,"Requirements✔     You hold a Bachelor, Master or PhD degree in IT, Information Management and/or Computer Science ✔     You are just graduated or have less than 3 years of working experience ✔     Good knowledge of big data technology landscape and concepts related to distributed storage / computing ✔     Experience with big data frameworks (e.g. Hadoop, Spark) and distributions (Cloudera, Hortonworks, MapR) ✔     Experience with batch & ETL jobs to ingest and process data from multiple data sources ✔     Experience with NoSQL databases (e.g. Cassandra, MongoDB, Neo4J, ElasticSearch) ✔     Experience with querying tools (e.g Hive, Spark SQL, Impala) ✔     Experience or willingness to go in real-time stream processing, using solutions such as Kafka, Flume and/or Spark Streaming ✔     You are passionate about technology and continuous learning comes naturally to you  ","Roles & ResponsibilitiesYour profile & role on the project YOU:  Thrive on challenge. When was the last time you failed? Are curious & always learning. What are you up to right now? Can deal with constant change. When were you last surprised? Have mastered at least one skill of your trade but you’re not defined by it. What can you teach us? Can you wear many hats?  YOU AGAIN: The DevOps Architect will install, maintain, and support an on-premises cloud infrastructure and apply DevOps practices and solutions. The person will also implement cloud-related and DevOps technologies such as AWS/Puppet/Chef/Elk/Azure/Openstack. Other infrastructure related activities such as maintaining the company internal server infrastructure and respond to consultant requests when required will be expected.  Install, maintain, and support on-premises and off-premises cloud stack. Configure, maintain, and support the cloud-related infrastructures. Act as a system administrator on different OSes (e.g. RHEL, Opensolaris, Ubuntu, etc.) and help teams deploy their application and automate their development and releases on the cloud. Ability to develop solutions and self-learn new tools and technologies. Document, and share knowledge on developed DevOps solutions.  STILL YOU:  Unix / Linux / Bash knowledge Very good understanding of cloud computing (e.g. Technologies, Deployment, costing, HA/DR, etc.) Good understanding of DevOps principles (e.g. testing automation, BDD, TDD, Release automation, CI/CD, etc.) 2 years experience with cloud deployment (e.g. Openstack, VMWare, AWS, Azure, Terraform, etc.) 1 year experience with testing automation (e.g. Maven, Selenium, HP QC, LoadRunner) 1 year experience with release automation process (e.g. CA-RA, Jenkins, etc.) 1 year experience with Configuration Management (e.g. Ansible, SaltStack, Puppet/Chef, etc.) 1 year experience with monitoring tools (e.g. ELK, Prometheus, Grafana and Splunk) Experience with developing and implementing processes to handle releases from Development to Operations while respecting internal rules, and offering solutions for rollback) Experience with designing an architecture to implement development-to-production workflows. Knowledge of SRE, Containers, Kubernetes, Openshift is a plus. Good understanding of microservice architecture and DevOps practices that support. Strong RDMS and NoSQL skill in deploying and fine tuning such as MySQL, Oracle, Elasticsearch.  Your role at PALO IT You will be invited to take part in R&D works done within our Practices. You will have the chance to assist or be a speaker at must-attend international IT conferences. You will have the opportunity to write articles for our Blog or specialized press. Genuine ambassador of PALO IT, you will present our offers and take an active role in the development of the company.  Your technical environment # Cloud and DevOps based technologies (AWS/Puppet/Chef/Elk/Azure/Opencloud) # DevOps practices # Linux OS, Shell Scripting, SQL # Agile and scrum environment","$6,000to$12,000",Monthly,Professional,data engineer
"SUNTEC TOWER FOUR, 6 TEMASEK BOULEVARD 038986",AVIVA ASIA PTE LTD,Permanent,Information Technology,"Manager, Data Engineer","RequirementsQUALIFICATIONS  Bachelor degree or above Masters (preferred)  KNOWLEDGE/EXPERIENCE ·A deep understanding of Data Modelling best practices  Good understanding of  tools and use in a commercial environment Preferably of 2-5 years of experience working in Hadoop/ Big Data related field Must possess working experience on Hive, Spark, HBase, Sqoop, Impala, Kafka, Flume, Oozie, MapReduce etc Working experience on ETL tools like Oracle PLSQL, Informatica etc Deep understanding of the Hadoop ecosystem and strong conceptual knowledge in Hadoop architecture components Possess data management, data visualization and statistical analysis experience Self-starter who works with minimal supervision. Ability to work in a team of diverse skill sets Experience working in Agile development process and has good understanding of various phases of Software Development Life Cycle Good interpersonal with excellent communication skills -written and spoken English    SKILLS Required  Data Warehouse Technologies Hadoop Proficiency Proficient in Hive, Spark, HBase, Sqoop, Impala, Kafka, Flume, Oozie, MapReduce etc. Working experience on ETL tools like Oracle PLSQL, Informatica etc data management, data visualization and statistical analysis skills    Desirable  Experience in working in Cloud environment   ","Roles & ResponsibilitiesPURPOSE AND CONTEXT OF THE ROLE Taking leadership in:  Design and develop architecture for data services ecosystem spanning Relational and Big Data technologies Design data models for mission critical and high volume data management, real-time and distributed data process aligning with the business requirements. Work with business units on their analytics initiatives, supply and/or source analytics expertise and resources. Ensure the appropriate technology resourcing and support for the Data Engineering and analytics team.    Lead projects involving high level of coordination among departments and business areas.   OUTCOMES  Produce optimal solutions in the receipt and delivery of data sets to desired destinations Alignment to Data Strategy, Digital Strategy, IT Strategy, Architecture and Transformation roadmap Maintain IT Applications Development Excellence amongst IT Development community through detailed development and training and the conduct of Knowledge transfer for completed tasks Produce Optimal solutions, through detailed Impact Analysis, Technical Solutions, Technical Specifications and provide Leadership in Projects, Change Initiatives and Solution Delivery. Supervise IT teams to produce and complete assigned tasks for Strategic, Mandatory and Tactical Change Request, within budget and within projected Scope of work.   ","$10,000to$12,000",Monthly,Manager,data engineer
,FINSURGE PTE. LTD.,Full Time,Information Technology,senior data engineer,"RequirementsTechnical background in computer science, data science, machine learning, artificial intelligence, statistics or other quantitative and computational science 5+ years of experience with a proven track record of building scalable and performant data infrastructure, implementing data warehousing and business intelligence projects: MS SQL Server, Oracle, MySQL, PostgreSQL Delivering production ETL jobs using Informatica stack including: Power Center, PowerExchange, Informatica Data Explorer Experience with the following tools is a bonus: Big Data Management, Big Data Streaming, Enterprise Data Integration, Enterprise Data Lake, Enterprise Data Catalog, Customer 360 Experience with insert other Temasek ETL tools e.g. SSIS is a bonus Experience implementing Data Quality (DQ) framework is a bonus: Data profiling DQ validation rules Automatic cleansing 3+ years of experience with Hadoop architecture and components including: Hive Spark Kafka Nifi Sqoop HDFS architecture HBase MapReduce Experience with NoSQL databases is a bonus: MongoDB, Cassandra, etc. Experience building APIs is a bonus Experience with the following languages: SQL Bash HiveQL Scala, SparkSQL, PySpark Python Java","Roles & ResponsibilitiesWe are looking for a Senior Data Engineer who will join the Digital Technology Team as we are at an early developmental stage and planning for considerable growth over the next 12 months. We need an experienced data engineer to design and develop data infrastructure. As we are looking to build the data pipeline from scratch, you will have autonomy and the technical backing from our engineering team in designing,developing and maintaining this infrastructure. Contribute to key data pipeline architecture decisions and lead the implementation of major initiatives Translating business requirements into technical specifications and documentation Developing code standards, ETL architecture standards, and naming conventions Designing, executing and documenting ETL testing plans Optimizing performance of ETL jobs Develop the team’s data capabilities - share knowledge, enforce best practices and encourage data-driven decisions.","$7,000to$8,500",Monthly,Senior Management,data engineer
"AXA TOWER, 8 SHENTON WAY 068811",LAZADA SOUTH EAST ASIA PTE. LTD.,Permanent,Information Technology,"Senior Manager, Data Engineer",Requirements Educational background in Computer Science / Electrical Engineering or similar Understanding of database concepts and distributed processing systems Experience with programming and understanding of basic algorithms Strong command of SQL and database concepts Preferred previous knowledge of Hadoop or NOSQL databases Excellent communication & problem solving skills  ,"Roles & ResponsibilitiesTeam Introduction Lazada is the number one online shopping & selling destination in Southeast Asia – present in Indonesia, Malaysia, the Philippines, Singapore, Thailand and Vietnam. Lazada helps more than 80,000 local and international sellers as well as 2,500 brands serve the 560 million consumers in the region through its marketplace platform, supported by a wide range of tailored marketing, data, and service solutions. Lazada offers an excellent customer experience through a wide network of logistics partners and its own first- and last-mile delivery arm. Roles & Responsibilities  Implementing working data projects based on given technical specifications Develop real-time and batch data ingesting and processing pipelines to be used for analysis, machine learning, dashboards, alerts and visualizations. Work closely with partner teams to establish the optimal technical solution to business problems Monitor & manage data pipelines, ensuring accuracy and stability ","$7,000to$10,500",Monthly,"Middle Management, Manager",data engineer
